citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	dists8	dists9	dists10	dists11	dists12	dists13	dists14	dists15	dists16	dists17	dists18	dists19	dists20	dists21	dists22	dists23	dists24	dists25	dists26	dists27	dists28	dists29	dists30	dists31	dists32	dists33	dists34	dists35	dists36	dists37	dists38	times0	times1	times2	times3	times4	times5	times6	times7	times8	times9	times10	times11	times12	times13	times14	times15	times16	times17	times18	times19	times20	times21	times22	times23	times24	times25	times26	times27	times28	times29	times30	times31	times32	times33	times34	times35	times36	times37	times38	region0	region1	region2	region3	region4	region5	region6	region7	region8	region9	region10	region11	region12	region13	region14	region15	region16	region17	region18	region19	region20	region21	region22	region23	region24	region25	region26	region27	region28	region29	region30	region31	region32	region33	region34	region35	region36	region37	region38	country0	country1	country2	country3	country4	country5	country6	country7	country8	country9	country10	country11	country12	country13	country14	country15	country16	country17	country18	country19	country20	country21	country22	country23	country24	country25	country26	country27	country28	country29	country30	country31	country32	country33	country34	country35	country36	country37	country38
Tuticorin, Tamil Nādu, India	259.66641199867416	77.80557611389442	8.190476190476197	0.4146960201348031	7	108.65105478728734	327.3217749991453	315.33419873446366	287.2170973193856	310.631960000592	294.4461627888439	174.06263536100167																																	7.20000000000001	8.33333333333334	8.300000000000006	8.533333333333339	8.300000000000006	8.23333333333334	8.433333333333339																																	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																																	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																																
Dhūlia, Mahārāshtra, India	257.30676584874004	90.34386991150042	8.077777777777785	0.31778554769055645	6	209.16799748633923	322.9438765705167	130.61474594948265	275.1047440384446	198.59605553826998	407.4131755093873																																		7.700000000000008	8.266666666666673	8.33333333333334	8.33333333333334	8.266666666666673	7.566666666666675																																		Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																																		Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																																	
Zhangjiakou, Hebei, China	257.0149691718238	289.6157827570873	7.97380952380953	0.29227584585118666	14	138.5524641049474	207.5631528697884	227.44359025485963	1289.3811777858734	168.42991548558768	196.58457699606086	94.18600846070701	151.2805301736185	198.3408765984079	214.48067366608748	222.80244013784792	199.44937999973237	85.43525738999743	204.27952448201728																										7.20000000000001	7.9000000000000075	7.966666666666674	8.300000000000006	7.9000000000000075	8.000000000000007	8.066666666666674	7.833333333333341	7.700000000000008	8.100000000000007	7.800000000000008	8.200000000000006	8.23333333333334	8.433333333333339																										Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Alberta																										Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Canada																									
Gaoping, Sichuan, China	255.52293776647568	121.0571683958704	8.059259259259267	0.4819655686123696	9	460.3569732362229	451.2046527224386	240.97597431882735	185.20569794675436	198.48421505938617	108.11127120164913	325.77467735021696	157.46167745513398	172.1313006076515																															8.33333333333334	8.200000000000006	8.166666666666673	6.800000000000011	8.066666666666674	7.800000000000008	8.433333333333339	8.33333333333334	8.400000000000006																															Alberta	Alberta	Aargau	Ontario	Aargau	Aargau	Aargau	Aargau	Aargau																															Canada	Canada	Switzerland	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																														
Quanzhou, Fujian, China	253.77575907774207	362.34643238636534	7.6571428571428655	0.4784944264040822	14	13.741998158906167	101.68658854688388	77.45210007494832	119.44248249660679	136.3158478033711	1216.7241784867672	45.83249933827693	687.7480022535376	66.0214457585193	42.12686126772914	843.0321067414582	40.02450149009983	121.29856229850088	41.41345237278375																										7.833333333333341	8.100000000000007	8.066666666666674	7.500000000000009	7.733333333333341	7.30000000000001	7.933333333333341	7.666666666666675	7.9000000000000075	7.566666666666675	6.16666666666668	7.966666666666674	7.4333333333333425	8.03333333333334																										Aargau	Aargau	Aargau	Aargau	Aargau	California	Aargau	Aargau	Aargau	Aargau	Ontario	Aargau	Aargau	Aargau																										Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United States	Switzerland	Switzerland	Switzerland	Switzerland	Canada	Switzerland	Switzerland	Switzerland																									
Mecca, Saudi Arabia	252.79184872360557	442.28161517738386	7.13015873015874	0.9212887661736393	21	243.29637622878707	830.8404992780011	47.39561026750981	341.35520070432364	48.40294522105118	1549.8770304264629	107.62250672052552	1453.2145269998289	88.16970064482415	152.55785764266435	58.95106370305522	48.833812078821246	30.64201726766355	17.958373826217535	70.8899301168669	36.40744252314655	30.52838382840936	19.030471321807607	74.01224546408399	10.551287756402704	48.091541175265064																			7.666666666666675	7.666666666666675	6.333333333333346	4.666666666666686	6.066666666666681	6.933333333333344	7.800000000000008	7.4333333333333425	7.6000000000000085	7.933333333333341	5.533333333333349	7.800000000000008	7.166666666666677	7.4333333333333425	8.13333333333334	5.933333333333348	8.03333333333334	6.6666666666666785	7.1333333333333435	7.566666666666675	8.23333333333334																			New York	California	Michigan	Michigan	Aargau	Aargau	Aargau	Aargau	Aargau	Alberta	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																			United States	United States	United States	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																		
Ansan, Korea, South	252.29200961132966	311.2905464222424	7.671111111111118	1.3214395442606481	15	178.8772793651927	109.56554058529906	209.2677850117436	171.88502570406834	188.1535286301932	198.4290812217672	147.22511933631395	1412.2361244912329	127.93000972683637	181.09407220430356	207.33049417770252	187.54869834485677	166.70817731910654	165.5129254441737	132.6162826071539																									7.400000000000009	6.800000000000011	8.500000000000005	7.766666666666675	7.066666666666677	8.533333333333339	8.366666666666672	3.166666666666691	7.700000000000008	8.433333333333339	8.466666666666672	8.300000000000006	8.366666666666672	7.700000000000008	8.500000000000005																									New York	Florida	California	England	Central and Western	New South Wales	California	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																									United States	United States	United States	United Kingdom	Hong Kong	Australia	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																								
Tehran, Iran	250.89935271814912	198.12466605543014	7.510526315789482	0.5704263955141713	19	239.05668377522306	72.8812889307461	250.89043602335528	269.77686238436473	159.49900023623948	84.21288051682664	630.6037428176131	510.98303838271795	572.0361867104682	91.35273011840525	215.09848983087932	722.2287554637394	176.3434319136944	199.1997755685418	181.40463234777488	108.56632556005829	115.31434399602743	139.13020315227539	28.50889391588125																					7.9000000000000075	7.766666666666675	6.466666666666679	7.000000000000011	6.333333333333346	8.466666666666672	8.166666666666673	8.500000000000005	7.533333333333342	7.066666666666677	7.1333333333333435	7.700000000000008	7.333333333333343	7.500000000000009	7.833333333333341	7.000000000000011	7.866666666666674	7.566666666666675	7.566666666666675																					Mazovia	Île-de-France	Île-de-France	Aargau	Aargau	California	Alberta	Alberta	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																					Poland	France	France	Switzerland	Switzerland	United States	Canada	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																				
Tsu, Japan	248.7980965351872	152.81237933707095	7.954385964912291	0.5000830955881962	19	75.57962629229088	114.2510416043165	25.79414052787208	325.3458106288049	104.13033477767692	247.60091793102248	338.7313067519706	254.1504067942026	47.41224072378802	592.7882347831554	98.1790543154234	205.54032402527696	525.385683407477	373.4949552501048	207.80616169362403	193.11230978409966	390.6218571380899	255.98936579459755	351.250061944763																					8.466666666666672	7.800000000000008	8.13333333333334	8.433333333333339	8.300000000000006	8.300000000000006	7.833333333333341	8.566666666666672	7.266666666666676	7.800000000000008	8.000000000000007	7.866666666666674	8.200000000000006	8.000000000000007	8.300000000000006	8.13333333333334	6.966666666666677	6.600000000000012	8.166666666666673																					California	Aargau	Aargau	Aargau	Aargau	Alberta	Aargau	Aargau	England	England	Aargau	Aargau	Aargau	Aargau	California	Aargau	Colorado	Colorado	Aargau																					United States	Switzerland	Switzerland	Switzerland	Switzerland	Canada	Switzerland	Switzerland	United Kingdom	United Kingdom	Switzerland	Switzerland	Switzerland	Switzerland	United States	Switzerland	United States	United States	Switzerland																				
Medina, Saudi Arabia	244.29542800226287	258.6348151464951	7.524444444444454	0.5446666213336921	15	1149.0378254290085	164.21062606096677	242.2616363205939	300.76816501281513	354.39242859443476	162.87696018849596	137.76769858047345	118.01123547839933	115.08981761719137	92.76198035471123	172.4895487739709	164.21062606096677	360.6439948810044	58.703429320352946	71.20544736055787																									8.666666666666671	7.933333333333341	6.900000000000011	7.366666666666676	8.166666666666673	7.266666666666676	7.4333333333333425	6.900000000000011	7.366666666666676	7.033333333333344	7.033333333333344	6.833333333333345	7.800000000000008	8.066666666666674	8.100000000000007																									California	California	Aargau	Aargau	Alberta	Florida	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																									United States	United States	Switzerland	Switzerland	Canada	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																								
Bacolod, Philippines	242.77172375511256	190.37490553942504	7.786666666666674	0.5155076606105347	15	304.51063179035265	274.21301160919063	103.65256990617135	571.215404175636	257.68592980278703	123.510021269292	265.3442281059184	534.626954856759	55.70037949270472	64.79752194369328	66.90139492684021	639.8795245658325	105.85015160584953	223.41864286301995	50.26948941264165																									7.1333333333333435	8.33333333333334	8.300000000000006	7.066666666666677	7.533333333333342	8.300000000000006	7.400000000000009	7.233333333333343	7.866666666666674	8.000000000000007	7.9000000000000075	6.966666666666677	8.200000000000006	7.9000000000000075	8.666666666666671																									New York	California	California	Aargau	Aargau	California	Aargau	Aargau	Aargau	Aargau	Aargau	Central and Western	Aargau	Aargau	California																									United States	United States	United States	Switzerland	Switzerland	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Hong Kong	Switzerland	Switzerland	United States																								
Ahmadābād, Gujarāt, India	242.43802061670138	294.8790779225423	7.666666666666676	0.508204294490188	9	429.64473648538535	1022.9877578262709	78.97705229568537	158.15112542979026	82.42405129161965	85.09533215747581	110.53345603674119	102.43048295907013	111.69819106827342																															7.766666666666675	7.000000000000011	7.733333333333341	6.933333333333344	7.4333333333333425	8.33333333333334	7.30000000000001	8.166666666666673	8.33333333333334																															Västerbotten	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																															Sweden	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																														
Shijiazhuang, Hebei, China	242.1395580651405	84.94689638350255	7.923333333333341	0.43641213956024894	10	308.1517102048741	315.82925765365246	132.00185376795093	282.8220903265651	285.9072142397937	333.0156901623277	95.47169125385031	263.49044973523115	283.83661506010844	120.86900824705116																														8.166666666666673	7.866666666666674	6.900000000000011	7.500000000000009	7.766666666666675	7.833333333333341	8.23333333333334	8.300000000000006	8.266666666666673	8.400000000000006																														Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																														Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																													
Jiangmen, Guangdong, China	240.4496371055644	389.7037423096414	7.925000000000007	0.34751099103321614	12	1380.408108747724	712.2031427678935	246.87453754064111	115.71101121917734	32.078040703661664	72.84112183491648	57.141971443993334	7.476326189604634	27.430670645797637	65.6734473429832	70.26223425226128	97.29503257811815																												7.10000000000001	7.9000000000000075	7.366666666666676	8.300000000000006	8.000000000000007	7.933333333333341	8.000000000000007	7.766666666666675	8.13333333333334	8.13333333333334	8.200000000000006	8.266666666666673																												New South Wales	California	Aargau	Alberta	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																												Australia	United States	Switzerland	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																											
Phnom Penh, Cambodia	240.15341915671618	259.2508207070832	6.341666666666679	2.2867219381075157	16	635.6046873948928	106.90998087736409	390.12672275707786	825.8104214467545	146.49472392933274	207.59134963000656	766.5054826021558	171.53638708606692	142.3833692083728	175.29914377553564	28.739020708349592	88.72914138830434	28.739020708349592	41.10269482769863	20.331193388018367	66.55136677917889																								5.200000000000017	4.133333333333354	8.566666666666672	0.26666666666669214	3.200000000000024	4.600000000000019	4.900000000000018	7.866666666666674	7.800000000000008	7.566666666666675	7.533333333333342	7.800000000000008	7.866666666666674	8.03333333333334	8.13333333333334	8.000000000000007																								California	Ontario	California	Michigan	England	England	England	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Alberta	Aargau																								United States	Canada	United States	United States	United Kingdom	United Kingdom	United Kingdom	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Canada	Switzerland																							
Rājshāhi, Bangladesh	239.84431520213585	96.28657413566305	7.608333333333342	0.6976647555317007	16	103.49272199328088	478.3735823854158	338.63994136717696	136.60619228816944	270.73896380332707	340.9004985509126	328.5501881592012	310.74792255942407	206.0133424050899	152.13384895101095	168.5676107355686	221.0183223837409	168.002227167667	251.3850214869294	150.22016043616014	212.11849856109893																								7.866666666666674	7.666666666666675	6.400000000000013	5.866666666666681	7.400000000000009	6.733333333333345	8.066666666666674	7.333333333333343	7.800000000000008	8.200000000000006	8.166666666666673	8.100000000000007	8.266666666666673	7.466666666666676	8.066666666666674	8.33333333333334																								New York	Andalusia	Aargau	Aargau	Aargau	Aargau	Aargau	California	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																								United States	Spain	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																							
Chengdu, Sichuan, China	236.6544354107682	333.7566238204951	7.557142857142866	1.0268172872992503	14	396.488089250315	700.7785444697854	119.97441124596996	39.545382340873665	13.330505633534425	111.68808411567946	1259.417646425177	72.62961684751251	111.38531602092421	111.69820234926145	97.98188173498819	13.330505633534425	79.9146277708833	184.99928191231604																										6.900000000000011	4.366666666666687	8.23333333333334	7.933333333333341	8.03333333333334	7.866666666666674	6.500000000000012	8.03333333333334	8.100000000000007	7.866666666666674	7.333333333333343	8.000000000000007	8.100000000000007	8.533333333333339																										New South Wales	California	Aargau	Alberta	Aargau	Aargau	Ontario	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																										Australia	United States	Switzerland	Canada	Switzerland	Switzerland	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																									
Eşfahān, Iran	235.256466745887	135.6090392044698	7.40000000000001	0.9085329376337582	18	264.8432811002649	243.49133366101427	220.56359337089623	309.2037785223266	311.4108736687384	252.18596793037165	69.25571055837605	671.779015021706	8.131592963770018	192.5232499433898	289.638018601664	209.9616938799252	193.53057211574105	133.7630883696021	170.1929225231254	203.64183483917128	131.86655728241362	358.6333170734701																						7.10000000000001	8.533333333333339	7.966666666666674	7.10000000000001	6.733333333333345	7.033333333333344	6.433333333333346	8.100000000000007	5.833333333333348	5.633333333333349	6.133333333333347	7.500000000000009	7.9000000000000075	8.433333333333339	8.03333333333334	8.13333333333334	8.33333333333334	8.266666666666673																						California	California	California	Aargau	Aargau	Aargau	Aargau	Mazovia	Aargau	Aargau	Ontario	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Alberta																						United States	United States	United States	Switzerland	Switzerland	Switzerland	Switzerland	Poland	Switzerland	Switzerland	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Canada																					
Dongguan, Guangdong, China	233.94631189887403	327.67844766039946	7.6111111111111205	0.9108739528742082	12	111.11725843724008	330.7964570640255	87.73064117935768	146.49813633859932	39.882446756771955	191.61610601049952	74.80537847294427	70.55906250398083	57.62281247159775	103.54981045623194	1277.3614175834111	315.8162155118285																												5.133333333333351	7.233333333333343	7.700000000000008	7.733333333333341	7.866666666666674	7.9000000000000075	8.200000000000006	8.400000000000006	8.03333333333334	8.066666666666674	8.566666666666672	6.500000000000012																												California	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	California	California																												United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United States	United States																											
Colombo, Sri Lanka	232.59085967886955	455.53925592755246	7.561403508771937	1.157445420530984	19	308.3029298718733	119.64214241785365	337.61772835095644	365.4026116662862	72.53116742346998	42.796119165879084	96.31425042325068	81.4124665638352	354.8616440234732	68.72650361238867	2103.824865495305	119.78667602850697	67.4748736645557	68.03352631578942	76.08236041943653	38.97744690220981	28.107320752666716	29.726694191958636	39.60500660882576																					7.933333333333341	7.366666666666676	7.4333333333333425	7.333333333333343	7.533333333333342	8.000000000000007	8.366666666666672	8.066666666666674	7.20000000000001	7.9000000000000075	2.866666666666692	7.400000000000009	8.200000000000006	7.733333333333341	7.966666666666674	8.13333333333334	8.23333333333334	7.866666666666674	8.13333333333334																					California	England	Central and Western	Aargau	Aargau	Aargau	California	Aargau	Aargau	Aargau	Northern Ireland	Arizona	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																					United States	United Kingdom	Hong Kong	Switzerland	Switzerland	Switzerland	United States	Switzerland	Switzerland	Switzerland	United Kingdom	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																				
Ho Chi Minh City, Vietnam	230.5537155856316	347.44362546531426	7.335087719298255	1.1318604301065516	19	1144.9859802482456	29.24001794413912	196.0721235982777	156.92037991802283	91.79317918295268	52.79870820737298	104.07079236392013	49.64529729486897	120.91946009042378	1201.2081526029997	112.39140491456742	40.837630295120185	603.7460712000902	226.53267841685457	93.60076156786842	11.526266141874723	29.873739161564867	66.4182345951903	47.93971838264656																					3.500000000000023	5.200000000000017	7.566666666666675	7.700000000000008	7.933333333333341	8.466666666666672	7.6000000000000085	8.13333333333334	8.000000000000007	6.433333333333346	7.766666666666675	7.766666666666675	7.30000000000001	7.633333333333342	7.4333333333333425	7.400000000000009	7.700000000000008	7.933333333333341	7.9000000000000075																					Ontario	Aargau	Aargau	Aargau	Alberta	Alberta	Aargau	Aargau	Aargau	Maryland	Aargau	Aargau	California	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																					Canada	Switzerland	Switzerland	Switzerland	Canada	Canada	Switzerland	Switzerland	Switzerland	United States	Switzerland	Switzerland	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																				
Pasay City, Philippines	228.84765671240228	278.73425451218407	7.688888888888897	0.9952231587952836	15	487.9550304879149	88.2986952839831	364.38435131879316	159.28485571873514	106.86370289062225	41.86516214585953	33.04037349521419	525.053624972708	1098.3468254404252	72.76792899933028	69.89871660094512	52.233770581167995	93.4829481042491	132.63504691908145	106.60381772700494																									8.13333333333334	5.2666666666666835	8.766666666666671	7.10000000000001	6.766666666666678	8.13333333333334	7.1333333333333435	6.733333333333345	9.600000000000001	7.9000000000000075	8.000000000000007	7.1333333333333435	8.03333333333334	8.266666666666673	8.366666666666672																									California	Ontario	California	New York	Aargau	Aargau	Aargau	England	England	Aargau	Aargau	Aargau	Aargau	Aargau	California																									United States	Canada	United States	United States	Switzerland	Switzerland	Switzerland	United Kingdom	United Kingdom	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United States																								
Srīnagar, Jammu and Kashmīr, India	228.48939893058332	331.7613007492281	6.855555555555567	1.5869451980860518	18	1446.1552886914	546.997002781478	124.30922991408306	562.9574954370564	77.9182712003566	144.43986522650354	27.956600076955752	212.46018230478148	61.29971029909868	148.35533018857757	194.57524019840065	111.27237094431473	143.48436985568202	39.49790603362497	146.3069472034739	41.043728001025485	28.512705294118295	55.266937099568416																						8.13333333333334	5.966666666666681	7.500000000000009	6.233333333333347	7.733333333333341	6.866666666666678	7.866666666666674	4.133333333333354	7.933333333333341	4.433333333333353	2.5000000000000266	7.333333333333343	8.13333333333334	7.766666666666675	7.866666666666674	8.100000000000007	8.13333333333334	6.766666666666678																						Andalusia	Aargau	Aargau	Alberta	Aargau	Aargau	Aargau	Ontario	Aargau	England	England	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																						Spain	Switzerland	Switzerland	Canada	Switzerland	Switzerland	Switzerland	Canada	Switzerland	United Kingdom	United Kingdom	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																					
Tokushima, Japan	227.64546979463393	115.38420589083532	8.19333333333334	0.3720215047547642	10	118.24172190481832	498.88392430195273	239.9556577329564	170.65124193016646	100.86354389236347	238.16335767330682	365.9688789987397	150.57447052281591	174.13078982246753	219.02111116675198																														8.300000000000006	8.466666666666672	8.166666666666673	7.166666666666677	8.366666666666672	8.266666666666673	8.266666666666673	8.03333333333334	8.600000000000005	8.300000000000006																														Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																														Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																													
Gifu, Japan	226.91291568369675	155.70460308193572	7.9833333333333405	0.3218867985971316	4	72.50041053751264	71.25937865278735	402.3661852057961	361.5256883386909																																				7.500000000000009	8.400000000000006	7.966666666666674	8.066666666666674																																				Florida	Aargau	Aargau	Aargau																																				United States	Switzerland	Switzerland	Switzerland																																			
Shaoguan, Guangdong, China	226.71106456314354	98.81610209894356	7.670175438596499	0.66621868605012	19	430.17013148011085	220.3599580804909	329.53485411644357	264.52631445738496	430.0090027180022	207.4269528068514	226.2709193121099	271.2208638556984	212.44675552771537	184.3334089305776	223.65831667045833	182.57831415698098	249.0791220489725	22.363416886244767	62.548942296501316	262.81825263334247	191.29017104892188	114.16005071090954	222.71447896200988																					6.900000000000011	7.466666666666676	6.766666666666678	6.866666666666678	5.7333333333333485	7.733333333333341	8.000000000000007	8.266666666666673	8.166666666666673	8.300000000000006	7.9000000000000075	8.100000000000007	8.23333333333334	7.9000000000000075	7.800000000000008	7.933333333333341	8.366666666666672	8.03333333333334	7.266666666666676																					Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Alberta																					Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Canada																				
Hechi, Guangxi, China	224.0205229831377	281.36966609124164	7.1944444444444535	1.4924604757262163	18	181.23759313648503	102.89173970063257	356.05337024451217	133.7078684688377	129.3756439073393	97.52634236449735	70.6282871469009	141.90085481231725	217.43653988800764	113.26183869229881	109.38184027895434	78.89388672140171	158.83139144936072	45.75553065951281	56.10884738132758	1192.2546168938675	739.6862913896225	107.43693056060305																						7.033333333333344	7.633333333333342	7.700000000000008	6.900000000000011	8.066666666666674	8.066666666666674	7.733333333333341	7.700000000000008	5.500000000000016	7.633333333333342	8.100000000000007	7.666666666666675	7.9000000000000075	7.800000000000008	8.366666666666672	1.6333333333333606	7.30000000000001	6.766666666666678																						Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	California	Colorado	Colorado	Aargau																						Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United States	United States	United States	Switzerland																					
Al Ḩillah, Iraq	223.31980365579537	145.15494542225986	7.115151515151525	0.9254388679190397	22	215.1577745218913	65.49532089287322	492.8885414984295	73.1103178587578	60.60413897528068	59.049902206270346	93.30266525717609	99.9814125686895	347.17049218954116	123.5808641840225	97.72245780705609	75.7520755269609	451.65694105305954	219.21308238693447	268.3865213258208	449.71659004462725	262.9397311691194	443.4475473269193	175.67196666945787	369.6705554131399	322.35710289478163	146.15967865668856																		7.10000000000001	6.300000000000013	8.066666666666674	7.666666666666675	7.000000000000011	5.33333333333335	6.26666666666668	7.833333333333341	7.4333333333333425	6.633333333333345	4.366666666666687	6.566666666666679	7.166666666666677	7.233333333333343	7.033333333333344	7.166666666666677	7.6000000000000085	7.533333333333342	8.066666666666674	8.266666666666673	8.33333333333334	7.566666666666675																		California	Ontario	California	California	Aargau	Virginia	Aargau	Aargau	Unknown	Unknown	Unknown	Thuringia	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Alberta	California	Aargau																		United States	Canada	United States	United States	Switzerland	United States	Switzerland	Switzerland	Unknown	Unknown	Unknown	Germany	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Canada	United States	Switzerland																	
Hāora, West Bengal, India	222.63810848845662	101.58513882761922	7.638461538461547	0.7650312717865226	13	399.91467662119993	102.48579550989618	432.2483159523744	182.42342322156168	232.86376236609928	259.8477706658796	321.229196723763	106.30140903187123	232.42421843205003	151.77061095174702	151.38751946424364	152.76784795350332	168.6308634557464																											7.9000000000000075	6.733333333333345	8.300000000000006	8.13333333333334	7.933333333333341	7.266666666666676	8.000000000000007	7.000000000000011	8.433333333333339	7.30000000000001	5.7333333333333485	8.466666666666672	8.100000000000007																											Aargau	Aargau	California	California	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	California																											Switzerland	Switzerland	United States	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United States																										
Wuhu, Anhui, China	222.40854573225954	272.0791915612961	8.056410256410263	0.3452695256823149	13	1109.1438070638912	378.4253593511863	210.0282854893986	161.973932454463	135.53957377357966	159.4869707722513	276.6964755617142	60.74869109251401	142.72223736834817	58.58963979207803	87.88957375460123	52.96547031250659	57.10107773284194																											8.500000000000005	7.833333333333341	7.333333333333343	8.000000000000007	8.100000000000007	7.466666666666676	8.13333333333334	8.066666666666674	7.933333333333341	8.13333333333334	8.533333333333339	8.33333333333334	8.366666666666672																											Alberta	Alberta	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																											Canada	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																										
