citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	dists8	dists9	dists10	dists11	dists12	dists13	dists14	dists15	dists16	dists17	dists18	dists19	times0	times1	times2	times3	times4	times5	times6	times7	times8	times9	times10	times11	times12	times13	times14	times15	times16	times17	times18	times19	region0	region1	region2	region3	region4	region5	region6	region7	region8	region9	region10	region11	region12	region13	region14	region15	region16	region17	region18	region19	country0	country1	country2	country3	country4	country5	country6	country7	country8	country9	country10	country11	country12	country13	country14	country15	country16	country17	country18	country19
Northcote, New Zealand	399.7695108697716	214.38867908210398	7.580000000000008	0.7194442299441954	5	449.0628362575676	13.750130363720807	646.22807224913	362.57524959906544	527.2312658793741																6.533333333333346	6.900000000000011	8.03333333333334	8.300000000000006	8.13333333333334																Ontario	Ontario	New South Wales	Aargau	Aargau																Canada	Canada	Australia	Switzerland	Switzerland															
Zamboanga City, Philippines	395.29514682864425	0	7.9000000000000075	0	1	395.29514682864425																				7.9000000000000075																				New South Wales																				Australia																			
Padangpanjang, Sumatera Barat, Indonesia	394.33656689286704	106.14455272693692	7.238888888888898	1.1518771582309946	6	502.25128363418656	380.00098402378734	307.7894787016697	214.0913296553418	461.3376464795443	500.54867886267283															8.13333333333334	8.166666666666673	4.9666666666666845	6.566666666666679	7.633333333333342	7.966666666666674															California	California	New York	Oklahoma	Aargau	Aargau															United States	United States	United States	United States	Switzerland	Switzerland														
Kwinana, Western Australia, Australia	392.52728667317166	406.89459487659457	7.225000000000009	0.6909634979907058	12	182.05348139165758	174.45699362411713	102.25776745011446	565.7408452678131	124.239893378168	122.37243600110493	1251.6291577876975	52.221491685598956	92.42155226806562	1128.8612411924644	722.7857347598004	191.28684527145873									7.566666666666675	6.033333333333347	7.233333333333343	7.933333333333341	6.700000000000012	8.000000000000007	7.800000000000008	7.333333333333343	5.766666666666682	7.1333333333333435	7.766666666666675	7.4333333333333425									California	Victoria	Île-de-France	New York	Florida	New South Wales	Aargau	Aargau	Aargau	Aargau	North Carolina	Aargau									United States	Australia	France	United States	United States	Australia	Switzerland	Switzerland	Switzerland	Switzerland	United States	Switzerland								
Coffs Harbour, New South Wales, Australia	390.772544743931	177.6831937890462	6.500000000000012	1.3603512618274525	4	548.4693599294873	542.471685736121	112.49984093556418	359.64929237455164																	7.700000000000008	5.33333333333335	4.9666666666666845	8.000000000000007																	Queensland	Victoria	Victoria	Aargau																	Australia	Australia	Australia	Switzerland																
Surabaya, Indonesia	388.9735577274959	179.71058184867505	6.933333333333344	0.8999999999999968	2	209.26297587882087	568.684139576171																			6.033333333333347	7.833333333333341																			New South Wales	Victoria																			Australia	Australia																		
Geraldton, Western Australia, Australia	382.42745385249873	173.14264382337572	7.866666666666674	0.15456030825826117	4	472.13217867601577	311.8989425499421	141.85403555048907	603.8246586335481																	7.966666666666674	7.700000000000008	8.066666666666674	7.733333333333341																	New South Wales	New South Wales	California	Aargau																	Australia	Australia	United States	Switzerland																
Bekasi, Indonesia	375.5835257549589	0	7.766666666666675	0	1	375.5835257549589																				7.766666666666675																				Île-de-France																				France																			
Surabaya, Jawa Timur, Indonesia	371.09977471997183	0	7.166666666666677	0	1	371.09977471997183																				7.166666666666677																				New South Wales																				Australia																			
Pekalongan, Jawa Tengah, Indonesia	369.8558731710801	366.89598629599396	4.40000000000002	1.7461067804944996	3	887.6542814679963	139.81153713963798	82.10180090560613																		6.866666666666678	3.0666666666666913	3.2666666666666906																		Florida	California	Victoria																		United States	United States	Australia																	
Warrnambool, Victoria, Australia	369.80420578351357	291.09636856182925	6.308333333333347	1.8772578997628953	4	134.7268078904198	841.0664681323067	121.89029007494702	381.5332570363808																	7.4333333333333425	3.2666666666666906	6.333333333333346	8.200000000000006																	Victoria	Bavaria	Victoria	Aargau																	Australia	Germany	Australia	Switzerland																
